TIC#,HIP#,"Comp (from CCDM, WDS, or assigned)",HD#,HR#,GJ#,ID/Con,CommonID,DistPc,plx,eplx,Ref_plx,_RAJ2000,_DEJ2000,Vmag,eVmag,Ref,B-V,eB-V,Ref,Rcmag,refRcmag,SpT,Ref_SpT,Teff,eTeff,ref_Teff,log(L/Lsun),e_logL,ref(logL),R*[Rsun],Diam*[mas],Msun,met,e_met,metratio,ref_met,log(g),elog(g),ref_logg,logR'HK,RefR'HK,EEIDau,EEIDmas,Contrast,Rcmag(EarthTwin),P(day),K(cm/s),a(uas),WDS_J,Comp_WDS,"Sep""",Del(Mag),sy_disksflag,ref_disk,groupflag
TIC_262843771,HIP_16245_,A,HD_22001_A,HR_1083_A,GJ_9118A_,kap_Ret_A,Kappa_Reticuli_A,21.7816,45.9103,0.0934,2022yCat.1355....0G,52.34448925,-62.93752894,4.703,0.005,1998A&AS..129..431H,0.391,0.003,1997HIP...C......0E,4.460,estimated,F3V,2006AJ....132..161G,6662,129,2019AJ....158..138S,0.6881,0.0179,2019AJ....158..138S,1.658,0.708,1.32,-0.170,0.060,[Fe/H],2016ApJ...826..171G,4.310,0.140,2015ApJ...804..146D,-5.037,2013A&A...551L...8P,2.208,101.38,2.37E-11,31.02,1043.3,5.27,0.231,03294-6256,A,54.40,6,N,_,C
TIC_118572803,HIP_16537_,_,HD_22049_,HR_1084_,GJ_144_,eps_Eri,Ran,3.2198,310.5773,0.1355,2022yCat.1355....0G,53.23268538,-9.45826097,3.718,0.003,1998A&AS..129..431H,0.881,0.007,1997HIP...C......0E,3.225,1980SAAOC...1..166C,K2V,1989ApJS...71..245K,5098,10,2022A&A...663A...4S,-0.4707,0.0101,2019AJ....158..138S,0.746,2.154,0.78,-0.080,0.010,[Fe/H],2022A&A...663A...4S,4.550,0.020,2022A&A...663A...4S,-4.455,1996ApJ...457L..99B,0.582,180.65,3.42E-10,26.89,183.5,13.36,0.696,03329-0927,A,15.00,15.52,Y,2009ApJ...690.1522B,C
TIC_311092847,HIP_16852_,_,HD_22484_,HR_1101_,GJ_147_,10_Tau,10_Tauri,13.9204,71.8370,0.1503,2022yCat.1355....0G,54.21826544,0.40166447,4.291,0.006,1998A&AS..129..431H,0.575,0.008,1997HIP...C......0E,3.955,1980SAAOC...1..166C,F9IV-V,1989ApJS...71..245K,5996,9,2022A&A...663A...4S,0.4868,0.0171,2017ApJ...836...77Y,1.623,1.084,1.14,-0.080,0.010,[Fe/H],2022A&A...663A...4S,4.100,0.020,2022A&A...663A...4S,-5.120,2004ApJS..152..261W,1.752,125.82,3.77E-11,30.01,793.0,6.37,0.331,_,_,_,_,Y,2008ApJ...674.1086T,B
TIC_38511251,HIP_17378_,_,HD_23249_,HR_1136_,GJ_150_,del_Eri,Rana,9.0888,110.0254,0.1944,2022yCat.1355....0G,55.81208557,-9.76339193,3.537,0.008,1998A&AS..129..431H,0.922,0.007,1997A&AS..124..349M,3.020,1980SAAOC...1..166C,K0+IV,1989ApJS...71..245K,5045,24,2022A&A...663A...4S,0.4685,0.0151,2017ApJ...836...77Y,2.245,2.297,0.87,0.090,0.020,[Fe/H],2022A&A...663A...4S,3.780,0.030,2022A&A...663A...4S,-5.184,1996ApJ...457L..99B,1.715,188.68,3.94E-11,29.03,879.4,7.37,0.651,_,_,_,_,N,_,A
TIC_121078878,HIP_17651_,_,HD_23754_,HR_1173_,GJ_155_,27_Eri,27_Eridani,17.7847,56.2281,0.1393,2022yCat.1355....0G,56.71203049,-23.24972280,4.210,0.005,1998A&AS..129..431H,0.428,0.007,1997yCat.2168....0M,3.970,1980SAAOC...1..166C,F5IV-V,2006AJ....132..161G,6685,80,2011A&A...530A.138C,0.7049,0.0183,2019AJ....158..138S,1.678,0.878,1.33,0.080,0.060,[Fe/H],2016ApJ...826..171G,4.141,0.092,2019AJ....158..138S,-4.855,2009A&A...493.1099S,2.251,126.59,2.28E-11,30.57,1069.8,5.20,0.286,_,_,_,_,N,_,C
TIC_9150015,HIP_18859_,_,HD_25457_,HR_1249_,GJ_159_,_,GJ_159,18.7070,53.4559,0.0702,2022yCat.1355....0G,60.65310113,-0.26892220,5.361,0.012,1998A&AS..129..431H,0.516,0.007,1997HIP...C......0E,5.045,1980SAAOC...1..166C,F7V,2003AJ....126.2048G,6268,26,2022A&A...663A...4S,0.3062,0.0156,2019AJ....158..138S,1.206,0.600,1.21,0.100,0.030,[Fe/H],2022A&A...663A...4S,4.340,0.040,2022A&A...663A...4S,-4.390,2004ApJS..152..261W,1.423,76.05,5.72E-11,30.65,563.4,6.86,0.189,_,_,_,_,Y,2008ApJ...677..630H,C
TIC_353257675,HIP_19335_,_,HD_25998_,HR_1278_,GJ_9145_,50_Per,50_Persei,21.1919,47.1878,0.0734,2022yCat.1355....0G,62.15257149,38.03973856,5.520,0.010,1997HIP...C......0E,0.520,0.005,1997HIP...C......0E,5.218,estimated,F8V,2003AJ....126.2048G,6381,74,2022A&A...663A...4S,0.3627,0.0164,2019AJ....158..138S,1.242,0.545,1.18,0.190,0.080,[Fe/H],2022A&A...663A...4S,4.610,0.140,2022A&A...663A...4S,-4.401,1996ApJ...457L..99B,1.518,71.65,5.02E-11,30.97,629.1,6.72,0.182,_,_,_,_,N,_,C
TIC_67772871,HIP_19849_,A,HD_26965_A,HR_1325_A,GJ_166A_,40_Eri_A,Keid,5.0098,199.6080,0.1208,2022yCat.1355....0G,63.81799841,-7.65286966,4.415,0.003,1998A&AS..129..431H,0.820,0.000,1997HIP...C......0E,3.960,1980SAAOC...1..166C,K0.5V,2006AJ....132..161G,5133,43,2022A&A...663A...4S,-0.3875,0.0064,2017ApJ...836...77Y,0.809,1.503,0.86,-0.290,0.010,[Fe/H],2022A&A...663A...4S,4.520,0.020,2022A&A...663A...4S,-4.872,1996ApJ...457L..99B,0.640,127.77,2.82E-10,27.83,201.7,12.13,0.446,04153-0739,A,82.70,4.88,N,_,A
TIC_117979951,HIP_22263_,_,HD_30495_,HR_1532_,GJ_177_,58_Eri,58_Eridani,13.2400,75.5289,0.0539,2022yCat.1355....0G,71.90121543,-16.93445569,5.489,0.007,1998A&AS..129..431H,0.632,0.006,1997HIP...C......0E,5.115,1980SAAOC...1..166C,G1.5V(n),2006AJ....132..161G,5833,10,2022A&A...663A...4S,-0.0149,0.0122,2019AJ....158..138S,0.962,0.676,1.04,0.000,0.010,[Fe/H],2022A&A...663A...4S,4.490,0.020,2022A&A...663A...4S,-4.511,1996ApJ...457L..99B,0.983,74.24,1.20E-10,29.92,349.1,8.90,0.214,_,_,_,_,Y,2008ApJ...674.1086T,B
TIC_399665349,HIP_22449_,_,HD_30652_,HR_1543_,GJ_178_,pi3_Ori,Tabit,8.0684,123.9400,0.1700,2007A&A...474..653V,72.46004544,6.96127453,3.184,0.002,1998A&AS..129..431H,0.484,0.003,1997HIP...C......0E,2.920,1980SAAOC...1..166C,F6V,1973ARA&A..11...29M,6443,14,2022A&A...663A...4S,0.4330,0.0083,2017ApJ...836...77Y,1.321,1.523,1.25,0.030,0.030,[Fe/H],2022A&A...663A...4S,4.300,0.030,2022A&A...663A...4S,-4.650,2004ApJS..152..261W,1.646,204.03,4.27E-11,28.84,690.0,6.27,0.490,04498+0658,A,73.20,8.09,N,_,A
TIC_213041474,HIP_23311_,_,HD_32147_,HR_1614_,GJ_183_,_,HR_1614_,8.8440,113.0715,0.0222,2022yCat.1355....0G,75.20416394,-5.75367342,6.202,0.008,1998A&AS..129..431H,1.053,0.010,1997yCat.2168....0M,5.610,1980SAAOC...1..166C,K3+V,2003AJ....126.2048G,4810,20,2022A&A...663A...4S,-0.5373,0.0139,2019AJ....158..138S,0.776,0.816,0.75,0.310,0.020,[Fe/H],2022A&A...663A...4S,4.460,0.040,2022A&A...663A...4S,-4.948,1996ApJ...457L..99B,0.539,60.91,3.99E-10,29.11,166.8,14.16,0.244,_,_,_,_,N,_,B
TIC_381949122,HIP_23693_,_,HD_33262_A,HR_1674_A,GJ_189_,zet_Dor_A,Zeta_Doradus_A,11.6927,85.5233,0.0755,2022yCat.1355....0G,76.37773198,-57.47270469,4.701,0.000,1998A&AS..129..431H,0.522,0.004,1997yCat.2168....0M,4.375,1980SAAOC...1..166C,F9V_Fe-0.5,2006AJ....132..161G,6158,23,2022A&A...663A...4S,0.1662,0.0137,2019AJ....158..138S,1.064,0.846,1.14,-0.180,0.030,[Fe/H],2022A&A...663A...4S,4.430,0.050,2022A&A...663A...4S,-4.426,2009A&A...493.1099S,1.211,103.56,7.89E-11,29.63,455.8,7.66,0.273,05055-5728	,A,321.60,4.34,Y,2008ApJ...674.1086T,B
TIC_27136704,HIP_23835_,,HD_32923,HR_1656,GJ_188,104_Tau,104_Tauri,15.9172,62.8252,0.1094,2022yCat.1355....0G,76.86252320,18.64504994,4.915,0.004,1998A&AS..129..431H,0.645,0.005,1997A&AS..124..349M,4.530,2010PASP..122.1437P,G1V,2003AJ....126.2048G,5691,17,2022A&A...663A...4S,0.0640,_,2019AJ....158..138S,1.107,0.647,1.04,-0.200,0.020,[Fe/H],2022A&A...663A...4S,4.060,0.030,2022A&A...663A...4S,-5.103,2021A&A...646A..77G,1.076,67.63,9.99E-11,29.53,400.0,8.51,0.195,05074+1839,A,0.10,0,N,_,C
TIC_409104974,HIP_24813_,_,HD_34411_,HR_1729_,GJ_197_,lam_Aur,Lambda_Aurigae,12.5625,79.6021,0.1005,2022yCat.1355....0G,79.78531437,40.09905141,4.705,0.010,1997HIP...C......0E,0.624,0.015,1997HIP...C......0E,4.319,estimated,G1.5V,1989ApJS...71..245K,5854,13,2022A&A...663A...4S,0.2385,0.0055,2012ApJ...757..112B,1.279,0.947,1.08,0.060,0.010,[Fe/H],2022A&A...663A...4S,4.240,0.060,2022A&A...663A...4S,-5.085,2010ApJ...725..875I,1.316,104.76,6.68E-11,29.76,530.6,7.55,0.291,_,_,_,_,N,_,A
TIC_142103211,HIP_25110_,_,HD_33564_,HR_1686_,GJ_196_,_,HR_1686_,20.7858,48.1098,0.0727,2022yCat.1355....0G,80.63971084,79.23115073,5.080,0.010,1997HIP...C......0E,0.506,0.002,1997HIP...C......0E,4.790,2010PASP..122.1437P,F7V,2003AJ....126.2048G,6354,32,2022A&A...663A...4S,0.5171,0.0165,2019AJ....158..138S,1.496,0.670,1.21,0.120,0.040,[Fe/H],2022A&A...663A...4S,4.200,0.080,2022A&A...663A...4S,-4.979,2009A&A...493.1099S,1.814,87.25,3.52E-11,30.92,811.0,6.08,0.217,05226+7914,A,31.10,4,N,_,C
TIC_47346402,HIP_25278_,_,HD_35296_,HR_1780_,GJ_202_,111_Tau,111_Tauri,14.5792,68.5908,0.1040,2022yCat.1355....0G,81.10609696,17.38353512,5.009,0.011,1998A&AS..129..431H,0.544,0.004,1997HIP...C......0E,4.700,2010PASP..122.1437P,F8V,2003AJ....126.2048G,6131,18,2022A&A...663A...4S,0.2499,0.0139,2019AJ....158..138S,1.182,0.754,1.18,0.010,0.020,[Fe/H],2022A&A...663A...4S,4.290,0.030,2022A&A...663A...4S,-4.378,1996ApJ...457L..99B,1.333,91.45,6.51E-11,30.17,517.7,7.18,0.233,05244+1723,A,106.70,3.73,N,_,A
TIC_261136679,HIP_26394_,_,HD_39091_,HR_2022_,GJ_9189_,pi_Men,Pi_Mensae,18.2874,54.6825,0.0354,2022yCat.1355....0G,84.29119519,-80.46912071,5.666,0.006,1998A&AS..129..431H,0.600,0.003,1997HIP...C......0E,5.310,estimated,G0V,2006AJ....132..161G,5982,15,2022A&A...663A...4S,0.1856,0.0132,2019AJ....158..138S,1.153,0.586,1.08,0.090,0.010,[Fe/H],2022A&A...663A...4S,4.390,0.030,2022A&A...663A...4S,-4.900,2005A&A...443..609S,1.238,67.71,7.55E-11,30.62,484.2,7.78,0.188,_,_,_,_,Y,2018MNRAS.475.3046S,B
TIC_311063391,HIP_26779_,_,HD_37394_,HR_1925_,GJ_211_,V538_Aur,V538_Aurigae,12.2701,81.4987,0.0253,2022yCat.1355....0G,85.33473200,53.48105801,6.200,0.008,1998A&AS..129..431H,0.840,0.006,1997HIP...C......0E,5.730,2010PASP..122.1437P,K1V,1967AJ.....72.1334C,5226,36,2022A&A...663A...4S,-0.3209,0.0104,2019AJ....158..138S,0.843,0.639,0.88,0.100,0.010,[Fe/H],2022A&A...663A...4S,4.520,0.030,2022A&A...663A...4S,-4.454,1996ApJ...457L..99B,0.691,56.33,2.42E-10,29.77,223.7,11.54,0.192,05413+5329,A,97.90,3.55,N,_,B
TIC_93279196,HIP_27072_,B,HD_38392_,HR_1982_,GJ_216B_,gam_Lep_B,Gamma_Leporis_B,8.8916,112.4661,0.0225,2022yCat.1355....0G,86.11056968,-22.42183736,6.142,0.009,1998A&AS..129..431H,0.954,0.009,1997HIP...C......0E,5.640,2010PASP..122.1437P,K2.5V,2006AJ....132..161G,4950,62,2018MNRAS.479.1332M,-0.5534,0.0092,2019AJ....158..138S,0.719,0.752,0.81,-0.140,0.040,[Fe/H],2018MNRAS.479.1332M0,4.330,0.160,2018MNRAS.479.1332M0,-4.500,2004A&A...423..517R,0.529,59.47,4.14E-10,29.10,156.1,13.75,0.221,05445-2227,B,95.50,-2.64,N,_,B
TIC_93280676,HIP_27072_,A,HD_38393_,HR_1983_,GJ_216A_,gam_Lep_A,Gamma_Leporis_A,8.9050,112.2960,0.1452,2022yCat.1355....0G,86.11579424,-22.44838549,3.596,0.004,1998A&AS..129..431H,0.481,0.011,1997HIP...C......0E,3.295,1980SAAOC...1..166C,F6.5V,2006AJ....132..161G,6313,26,2022A&A...663A...4S,0.3700,0.0158,2019AJ....158..138S,1.280,1.337,1.23,-0.080,0.010,[Fe/H],2022A&A...663A...4S,4.350,0.040,2022A&A...663A...4S,-4.774,1996AJ....111..439H,1.531,171.94,4.94E-11,29.06,623.9,6.56,0.420,05445-2227,A,95.50,2.64,N,_,A
TIC_176521059,HIP_27435_,_,HD_38858_,HR_2007_,GJ_1085_,_,HR_2007_,15.2104,65.7446,0.0307,2022yCat.1355....0G,87.14558440,-4.09464494,5.973,0.005,1998A&AS..129..431H,0.639,0.002,1997HIP...C......0E,5.580,2010PASP..122.1437P,G2V,2003AJ....126.2048G,5731,18,2022A&A...663A...4S,-0.0826,0.0105,2019AJ....158..138S,0.922,0.564,1.02,-0.220,0.010,[Fe/H],2022A&A...663A...4S,4.470,0.030,2022A&A...663A...4S,-4.890,2018ApJ...855...75R,0.909,59.78,1.40E-10,30.22,313.6,9.35,0.176,_,_,_,_,Y,2006ApJ...652.1674B,C
TIC_141810080,HIP_29271_,A,HD_43834_A,HR_2261_A,GJ_231A,alf_Men_A,Alpha_Mensae_A,10.2129,97.9158,0.0573,2022yCat.1355....0G,92.56030243,-74.75304398,5.076,0.002,1998A&AS..129..431H,0.720,0.000,1997yCat.2168....0M,4.675,1980SAAOC...1..166C,G7V,2006AJ....132..161G,5594,14,2022A&A...663A...4S,-0.0627,0.0107,2019AJ....158..138S,0.990,0.902,0.96,0.100,0.010,[Fe/H],2022A&A...663A...4S,4.460,0.030,2022A&A...663A...4S,-4.940,1996AJ....111..439H,0.930,91.10,1.34E-10,29.36,334.5,9.52,0.285,06102-7445,A,3.30,5.01,N,_,C
TIC_46125330,HIP_29650_,_,HD_43042_,HR_2220_,GJ_3390_,71_Ori,71_Orionis,21.7763,45.9214,0.2358,2022yCat.1355....0G,93.71198477,19.15644790,5.200,0.010,1997HIP...C......0E,0.430,0.000,1997HIP...C......0E,4.910,2010PASP..122.1437P,F5.5IV-V,2003AJ....126.2048G,6539,65,2013ApJ...764...78R,0.4677,0.0176,2019AJ....158..138S,1.335,0.570,1.29,0.030,0.040,[Fe/H],2013ApJ...764...78R,4.290,0.020,2013ApJ...764...78R,-4.799,2009A&A...493.1099S,1.713,78.68,3.94E-11,30.92,721.2,6.05,0.183,06148+1909,A,8.00,6,N,_,B
TIC_437886584,HIP_29800_,_,HD_43386_,HR_2241_,GJ_9207_,74_Ori,74_Orionis,19.5879,51.0518,0.0969,2022yCat.1355....0G,94.11091294,12.27216323,5.040,0.010,1997HIP...C......0E,0.431,0.003,1997HIP...C......0E,4.780,2010PASP..122.1437P,F5V,2003AJ....126.2048G,6480,80,2000Priv.C........F,0.4708,0.0174,2019AJ....158..138S,1.364,0.648,1.33,-0.030,0.050,[Fe/H],2016ApJ...826..171G,4.307,0.083,2019AJ....158..138S,-4.580,1991ApJS...76..383D,1.719,87.78,3.91E-11,30.80,714.1,5.95,0.198,06164+1216,A,32.10,7.46,N,_,B
TIC_141523112,HIP_32439_,A,HD_46588_A,HR_2401_A,GJ_9215A,_,GJ_9215A,18.2023,54.9380,0.0595,2022yCat.1355....0G,101.55895815,79.56481071,5.440,0.010,1997HIP...C......0E,0.525,0.003,1997HIP...C......0E,5.110,2010PASP..122.1437P,F8V,2003AJ....126.2048G,6204,23,2022A&A...663A...4S,0.2615,0.0147,2019AJ....158..138S,1.170,0.598,1.18,-0.100,0.030,[Fe/H],2022A&A...663A...4S,4.430,0.070,2022A&A...663A...4S,-4.930,1991ApJS...76..383D,1.351,74.23,6.34E-11,30.61,528.1,7.13,0.189,06462+7934,A,79.20,11.75,N,_,B
TIC_307754027,HIP_32480_,_,HD_48682_,HR_2483_,GJ_245_,56_Aur,56_Aurigae,16.6106,60.2024,0.0865,2022yCat.1355....0G,101.68473723,43.57742456,5.252,0.004,1998A&AS..129..431H,0.575,0.005,1997HIP...C......0E,4.930,2010PASP..122.1437P,F9V,2003AJ....126.2048G,6066,30,2022A&A...663A...4S,0.2617,0.0143,2019AJ....158..138S,1.224,0.685,1.14,0.110,0.020,[Fe/H],2022A&A...663A...4S,4.380,0.070,2022A&A...663A...4S,-4.930,2007AJ....133..862H,1.352,81.37,6.33E-11,30.43,537.5,7.25,0.214,06467+4335	,A,29.40,3.34,Y,2006ApJ...652.1674B,C
TIC_282210766,HIP_32984_,A,HD_50281_,_,GJ_250A_,_,GJ_250A,8.7447,114.3547,0.0418,2022yCat.1355....0G,103.07521060,-5.17371267,6.562,0.008,1998A&AS..129..431H,1.056,0.011,1997HIP...C......0E,5.975,1980SAAOC...1..166C,K3.5V,2003AJ....126.2048G,4767,31,2022A&A...663A...4S,-0.6583,0.0191,2019AJ....158..138S,0.687,0.731,0.79,0.020,0.030,[Fe/H],2022A&A...663A...4S,4.540,0.080,2022A&A...663A...4S,-4.554,2018A&A...616A.108B,0.469,53.59,5.27E-10,29.17,131.8,14.79,0.204,06523-0510,A,58.90,3.45,N,_,C
TIC_80226651,HIP_33277_,_,HD_50692_,HR_2569_,GJ_252_,37_Gem,37_Geminorum,17.4047,57.4559,0.0907,2022yCat.1355....0G,103.82777649,25.37569543,5.763,0.004,1998A&AS..129..431H,0.573,0.010,1997HIP...C......0E,5.400,2010PASP..122.1437P,G0V,2003AJ....126.2048G,5924,17,2022A&A...663A...4S,0.1117,0.0123,2019AJ....158..138S,1.080,0.577,1.08,-0.120,0.020,[Fe/H],2022A&A...663A...4S,4.440,0.04,2022A&A...663A...4S,-4.960,2018ApJ...855...75R,1.137,65.34,8.95E-11,30.52,426.2,8.12,0.182,_,_,_,_,N,_,B
TIC_130645536,HIP_34065_,_,HD_53705_,HR_2667_,GJ_9223A_ ,_,HR_2667,17.0593,58.6192,0.0477,2022yCat.1355....0G,105.98881342,-43.60803496,5.560,0.010,1997HIP...C......0E,0.624,0.009,1997HIP...C......0E,5.181,estimated,G1.5V,1989ApJS...71..245K,5790,15,2022A&A...663A...4S,0.1731,0.0115,2019AJ....158..138S,1.213,0.661,1.04,-0.220,0.030,[Fe/H],2022A&A...663A...4S,4.330,0.040,2022A&A...663A...4S,-4.930,1996AJ....111..439H,1.221,71.55,7.77E-11,30.46,483.0,7.99,0.207,07040-4337,A,21.30,1.07,N,_,B
TIC_156890613,HIP_35136_,_,HD_55575_,HR_2721_,GJ_1095_,_,HR_2721,16.8518,59.3408,0.0535,2022yCat.1355....0G,108.95891324,47.23996345,5.559,0.003,1998A&AS..129..431H,0.576,0.002,1997HIP...C......0E,5.190,2010PASP..122.1437P,F9V,2003AJ....126.2048G,5902,14,2022A&A...663A...4S,0.1652,0.0125,2019AJ....158..138S,1.157,0.638,1.14,-0.320,0.020,[Fe/H],2022A&A...663A...4S,4.320,0.030,2022A&A...663A...4S,-4.950,2018ApJ...855...75R,1.209,71.77,7.91E-11,30.44,455.0,7.66,0.189,_,_,_,_,N,_,B
TIC_328324648,HIP_36439_,_,HD_58855_,HR_2849,GJ_9234_,22_Lyn,22_Lyncis,20.4021,49.0145,0.1406,2022yCat.1355....0G,112.48315488,49.67245940,5.350,0.010,1997HIP...C......0E,0.470,0.003,1997HIP...C......0E,5.047,estimated,F6V,2001AJ....121.2148G,6349,25,2022A&A...663A...4S,0.3882,0.0161,2019AJ....158..138S,1.292,0.589,1.16,-0.280,0.030,[Fe/H],2022A&A...663A...4S,4.290,0.040,2022A&A...663A...4S,-4.879,2020A&A...641A.110G,1.564,76.64,4.73E-11,30.86,663.1,6.68,0.198,07299+4940,A,183.30,4.68,N,_,B
TIC_150796339,HIP_38423_,A,HD_64379_,HR_3079_,GJ_292A_,212_Pup_A,212_Puppis_A,18.3274,54.5631,0.0665,2022yCat.1355....0G,118.06526236,-34.70543992,5.085,0.004,2001KFNT...17e.409K,0.459,0.009,2001KFNT...17e.409K,4.773,estimated,F5V_Fe-0.5,2006AJ....132..161G,6525,80,2011A&A...530A.138C,0.4043,0.0173,2019AJ....158..138S,1.246,0.632,1.33,-0.080,0.060,[Fe/H],2016ApJ...826..171G,4.276,0.087,2019A&A...628A..94A,-4.363,2006AJ....132..161G,1.593,86.90,4.56E-11,30.63,636.6,6.18,0.196,07523-3442,A,3.90,3.47,N,_,C
TIC_372914091,HIP_38908_,A,HD_65907_A,HR_3138_A,GJ_294A_,_,GJ_294A,16.1718,61.8360,0.0417,2022yCat.1355....0G,119.44547625,-60.30307193,5.592,0.007,1998A&AS..129..431H,0.573,0.009,1997HIP...C......0E,5.280,1980SAAOC...1..166C,F9.5V,2006AJ....132..161G,5997,16,2022A&A...663A...4S,0.1106,0.0126,2019AJ....158..138S,1.052,0.605,1.11,-0.310,0.020,[Fe/H],2022A&A...663A...4S,4.520,0.030,2022A&A...663A...4S,-4.790,1996AJ....111..439H,1.136,70.23,8.97E-11,30.40,419.6,8.02,0.190,07578-6018,A,60.60,4.47,N,_,B
